"MacroTrends Data Download"
"AAPL - Historical Price and Volume Data"
"Note: Historical prices are adjusted for stock splits."

"Disclaimer and Terms of Use: Historical stock data is provided 'as is' and solely for informational purposes, not for trading purposes or advice."
"MacroTrends LLC expressly disclaims the accuracy, adequacy, or completeness of any data and shall not be liable for any errors, omissions or other defects in, "
"delays or interruptions in such data, or for any actions taken in reliance thereon.  Neither MacroTrends LLC nor any of our information providers will be liable"
"for any damages relating to your use of the data provided."


"ATTRIBUTION: Proper attribution requires clear indication of the data source as ""www.macrotrends.net""."
"A ""dofollow"" backlink to the originating page is also required if the data is displayed on a web page."


date,open,high,low,close,volume
1980-12-12,0.0994,0.0999,0.0994,0.0994,469033600
1980-12-15,0.0947,0.0947,0.0943,0.0943,175884800
1980-12-16,0.0878,0.0878,0.0873,0.0873,105728000
1980-12-17,0.0895,0.0899,0.0895,0.0895,86441600
1980-12-18,0.0921,0.0925,0.0921,0.0921,73449600
1980-12-19,0.0977,0.0982,0.0977,0.0977,48630400
1980-12-22,0.1025,0.1029,0.1025,0.1025,37363200
1980-12-23,0.1068,0.1072,0.1068,0.1068,46950400
1980-12-24,0.1124,0.1129,0.1124,0.1124,48003200
1980-12-26,0.1228,0.1232,0.1228,0.1228,55574400
1980-12-29,0.1245,0.1250,0.1245,0.1245,93161600
1980-12-30,0.1219,0.1219,0.1215,0.1215,68880000
1980-12-31,0.1185,0.1185,0.1181,0.1181,35750400
1981-01-02,0.1193,0.1202,0.1193,0.1193,21660800
1981-01-05,0.1172,0.1172,0.1167,0.1167,35728000
1981-01-06,0.1120,0.1120,0.1115,0.1115,45158400
1981-01-07,0.1072,0.1072,0.1068,0.1068,55686400
1981-01-08,0.1050,0.1050,0.1046,0.1046,39827200
1981-01-09,0.1103,0.1107,0.1103,0.1103,21504000
1981-01-12,0.1103,0.1103,0.1094,0.1094,23699200
1981-01-13,0.1059,0.1059,0.1055,0.1055,23049600
1981-01-14,0.1059,0.1064,0.1059,0.1059,14291200
1981-01-15,0.1081,0.1090,0.1081,0.1081,14067200
1981-01-16,0.1076,0.1076,0.1072,0.1072,13395200
1981-01-19,0.1137,0.1141,0.1137,0.1137,41574400
1981-01-20,0.1107,0.1107,0.1103,0.1103,30083200
1981-01-21,0.1124,0.1133,0.1124,0.1124,15904000
1981-01-22,0.1137,0.1146,0.1137,0.1137,35548800
1981-01-23,0.1137,0.1141,0.1133,0.1133,11222400
1981-01-26,0.1120,0.1120,0.1115,0.1115,24640000
1981-01-27,0.1115,0.1115,0.1107,0.1107,23699200
1981-01-28,0.1076,0.1076,0.1072,0.1072,28156800
1981-01-29,0.1038,0.1038,0.1033,0.1033,43904000
1981-01-30,0.0986,0.0986,0.0977,0.0977,46188800
1981-02-02,0.0925,0.0925,0.0921,0.0921,23766400
1981-02-03,0.0955,0.0960,0.0955,0.0955,19152000
1981-02-04,0.0990,0.0994,0.0990,0.0990,27865600
1981-02-05,0.0990,0.0999,0.0990,0.0990,7929600
1981-02-06,0.0994,0.0999,0.0994,0.0994,13865600
1981-02-09,0.0951,0.0951,0.0943,0.0943,16755200
1981-02-10,0.0943,0.0947,0.0943,0.0943,18345600
1981-02-11,0.0917,0.0917,0.0912,0.0912,13843200
1981-02-12,0.0908,0.0908,0.0904,0.0904,14560000
1981-02-13,0.0891,0.0891,0.0882,0.0882,11155200
1981-02-17,0.0904,0.0908,0.0904,0.0904,12275200
1981-02-18,0.0943,0.0951,0.0943,0.0943,19241600
1981-02-19,0.0891,0.0891,0.0887,0.0887,22310400
1981-02-20,0.0843,0.0843,0.0839,0.0839,24371200
1981-02-23,0.0852,0.0856,0.0852,0.0852,14112000
1981-02-24,0.0830,0.0830,0.0821,0.0821,16979200
1981-02-25,0.0873,0.0878,0.0873,0.0873,19488000
1981-02-26,0.0887,0.0891,0.0887,0.0887,10841600
1981-02-27,0.0917,0.0925,0.0917,0.0917,14761600
1981-03-02,0.0921,0.0925,0.0921,0.0921,11760000
1981-03-03,0.0912,0.0912,0.0908,0.0908,16172800
1981-03-04,0.0904,0.0904,0.0899,0.0899,13708800
1981-03-05,0.0899,0.0899,0.0895,0.0895,5376000
1981-03-06,0.0895,0.0895,0.0887,0.0887,11603200
1981-03-09,0.0821,0.0821,0.0817,0.0817,15321600
1981-03-10,0.0783,0.0783,0.0778,0.0778,28380800
1981-03-11,0.0756,0.0756,0.0748,0.0748,29859200
1981-03-12,0.0778,0.0783,0.0778,0.0778,59248000
1981-03-13,0.0774,0.0774,0.0770,0.0770,231302400
1981-03-16,0.0800,0.0808,0.0800,0.0800,37228800
1981-03-17,0.0839,0.0847,0.0839,0.0839,43747200
1981-03-18,0.0891,0.0899,0.0891,0.0891,36937600
1981-03-19,0.0887,0.0887,0.0882,0.0882,37811200
1981-03-20,0.0891,0.0899,0.0891,0.0891,14604800
1981-03-23,0.0925,0.0934,0.0925,0.0925,22019200
1981-03-24,0.0925,0.0925,0.0921,0.0921,28156800
1981-03-25,0.0912,0.0912,0.0904,0.0904,7056000
1981-03-26,0.0891,0.0891,0.0887,0.0887,12275200
1981-03-27,0.0861,0.0861,0.0856,0.0856,12252800
1981-03-30,0.0856,0.0865,0.0856,0.0856,9900800
1981-03-31,0.0856,0.0856,0.0847,0.0847,15993600
1981-04-01,0.0843,0.0843,0.0839,0.0839,34070400
1981-04-02,0.0912,0.0917,0.0912,0.0912,31404800
1981-04-03,0.0917,0.0921,0.0917,0.0917,16486400
1981-04-06,0.0904,0.0904,0.0899,0.0899,22803200
1981-04-07,0.0895,0.0895,0.0891,0.0891,10684800
1981-04-08,0.0934,0.0943,0.0934,0.0934,21952000
1981-04-09,0.0951,0.0955,0.0951,0.0951,12499200
1981-04-10,0.0964,0.0968,0.0964,0.0964,33465600
1981-04-13,0.0964,0.0968,0.0964,0.0964,16060800
1981-04-14,0.0964,0.0968,0.0964,0.0964,6652800
1981-04-15,0.0921,0.0921,0.0917,0.0917,34048000
1981-04-16,0.0869,0.0869,0.0865,0.0865,23878400
1981-04-20,0.0891,0.0895,0.0891,0.0891,35347200
1981-04-21,0.0951,0.0955,0.0951,0.0951,28537600
1981-04-22,0.0986,0.0990,0.0986,0.0986,18995200
1981-04-23,0.1012,0.1016,0.1012,0.1012,58016000
1981-04-24,0.1012,0.1012,0.1003,0.1003,35056000
1981-04-27,0.0999,0.0999,0.0994,0.0994,38528000
1981-04-28,0.0982,0.0982,0.0977,0.0977,32188800
1981-04-29,0.0968,0.0968,0.0964,0.0964,13641600
1981-04-30,0.0982,0.0990,0.0982,0.0982,12611200
1981-05-01,0.0982,0.0990,0.0982,0.0982,16553600
1981-05-04,0.0982,0.0982,0.0977,0.0977,14448000
1981-05-05,0.0977,0.0977,0.0973,0.0973,17539200
1981-05-06,0.0951,0.0951,0.0947,0.0947,18950400
1981-05-07,0.0960,0.0964,0.0960,0.0960,9363200
1981-05-08,0.0968,0.0973,0.0968,0.0968,7907200
1981-05-11,0.0951,0.0951,0.0947,0.0947,11939200
1981-05-12,0.0947,0.0960,0.0947,0.0947,4256000
1981-05-13,0.0947,0.0955,0.0943,0.0943,4905600
1981-05-14,0.0938,0.0938,0.0929,0.0929,4928000
1981-05-15,0.0951,0.0964,0.0951,0.0951,4905600
1981-05-18,0.0968,0.0977,0.0968,0.0968,4166400
1981-05-19,0.0955,0.0955,0.0951,0.0951,25424000
1981-05-20,0.0982,0.0990,0.0982,0.0982,13283200
1981-05-21,0.1038,0.1042,0.1038,0.1038,32211200
1981-05-22,0.1085,0.1094,0.1085,0.1085,31427200
1981-05-26,0.1085,0.1085,0.1081,0.1081,85344000
1981-05-27,0.1141,0.1146,0.1141,0.1141,149497600
1981-05-28,0.1141,0.1146,0.1141,0.1141,73987200
1981-05-29,0.1146,0.1150,0.1146,0.1146,59382400
1981-06-01,0.1146,0.1150,0.1146,0.1146,51251200
1981-06-02,0.1094,0.1094,0.1090,0.1090,40432000
1981-06-03,0.1090,0.1098,0.1090,0.1090,39446400
1981-06-04,0.1111,0.1115,0.1111,0.1111,56067200
1981-06-05,0.1098,0.1098,0.1094,0.1094,57680000
1981-06-08,0.1059,0.1059,0.1055,0.1055,93497600
1981-06-09,0.1076,0.1081,0.1076,0.1076,119593600
1981-06-10,0.1090,0.1103,0.1090,0.1090,25222400
1981-06-11,0.1137,0.1141,0.1137,0.1137,38976000
1981-06-12,0.1129,0.1129,0.1124,0.1124,25804800
1981-06-15,0.1124,0.1124,0.1120,0.1120,143763200
1981-06-16,0.1103,0.1103,0.1098,0.1098,37251200
1981-06-17,0.1085,0.1085,0.1081,0.1081,27574400
1981-06-18,0.1081,0.1085,0.1076,0.1076,23049600
1981-06-19,0.1050,0.1050,0.1046,0.1046,27507200
1981-06-22,0.1012,0.1012,0.1008,0.1008,10841600
1981-06-23,0.1025,0.1033,0.1025,0.1025,15030400
1981-06-24,0.1008,0.1008,0.0999,0.0999,23027200
1981-06-25,0.1020,0.1025,0.1020,0.1020,24259200
1981-06-26,0.1016,0.1016,0.1008,0.1008,23788800
1981-06-29,0.0982,0.0982,0.0973,0.0973,10595200
1981-06-30,0.0904,0.0904,0.0899,0.0899,35907200
1981-07-01,0.0895,0.0895,0.0891,0.0891,170464000
1981-07-02,0.0891,0.0895,0.0891,0.0891,30284800
1981-07-06,0.0869,0.0869,0.0861,0.0861,16531200
1981-07-07,0.0869,0.0878,0.0869,0.0869,15836800
1981-07-08,0.0904,0.0908,0.0904,0.0904,16620800
1981-07-09,0.0839,0.0839,0.0834,0.0834,32883200
1981-07-10,0.0774,0.0774,0.0770,0.0770,55171200
1981-07-13,0.0787,0.0791,0.0787,0.0787,45740800
1981-07-14,0.0821,0.0830,0.0821,0.0821,19779200
1981-07-15,0.0843,0.0847,0.0843,0.0843,10953600
1981-07-16,0.0865,0.0873,0.0865,0.0865,15232000
1981-07-17,0.0895,0.0899,0.0895,0.0895,19824000
1981-07-20,0.0839,0.0839,0.0834,0.0834,23654400
1981-07-21,0.0834,0.0834,0.0830,0.0830,31942400
1981-07-22,0.0791,0.0791,0.0783,0.0783,22668800
1981-07-23,0.0804,0.0808,0.0804,0.0804,34451200
1981-07-24,0.0830,0.0834,0.0830,0.0830,28851200
1981-07-27,0.0865,0.0869,0.0865,0.0865,17337600
1981-07-28,0.0839,0.0839,0.0834,0.0834,22848000
1981-07-29,0.0826,0.0826,0.0821,0.0821,15500800
1981-07-30,0.0852,0.0861,0.0852,0.0852,9900800
1981-07-31,0.0865,0.0869,0.0865,0.0865,10953600
1981-08-03,0.0865,0.0865,0.0856,0.0856,12432000
1981-08-04,0.0869,0.0873,0.0869,0.0869,31673600
1981-08-05,0.0895,0.0899,0.0895,0.0895,17494400
1981-08-06,0.0878,0.0878,0.0873,0.0873,10528000
1981-08-07,0.0873,0.0878,0.0873,0.0873,9206400
1981-08-11,0.0856,0.0856,0.0847,0.0847,71456000
1981-08-12,0.0834,0.0834,0.0830,0.0830,26275200
1981-08-13,0.0808,0.0808,0.0804,0.0804,27484800
1981-08-14,0.0800,0.0800,0.0791,0.0791,24192000
1981-08-17,0.0774,0.0774,0.0765,0.0765,18905600
1981-08-18,0.0756,0.0756,0.0748,0.0748,17001600
1981-08-19,0.0748,0.0748,0.0740,0.0740,20675200
1981-08-20,0.0748,0.0752,0.0748,0.0748,17113600
1981-08-21,0.0705,0.0705,0.0696,0.0696,41910400
1981-08-24,0.0657,0.0657,0.0653,0.0653,23072000
1981-08-25,0.0670,0.0674,0.0670,0.0670,40700800
1981-08-26,0.0662,0.0662,0.0657,0.0657,33600000
1981-08-27,0.0662,0.0666,0.0662,0.0662,25916800
1981-08-28,0.0696,0.0700,0.0696,0.0696,38035200
1981-08-31,0.0696,0.0700,0.0696,0.0696,40947200
1981-09-01,0.0740,0.0744,0.0740,0.0740,37027200
1981-09-02,0.0752,0.0756,0.0752,0.0752,19376000
1981-09-03,0.0722,0.0722,0.0713,0.0713,37475200
1981-09-04,0.0709,0.0709,0.0705,0.0705,15254400
1981-09-08,0.0687,0.0687,0.0683,0.0683,25446400
1981-09-09,0.0683,0.0687,0.0683,0.0683,30531200
1981-09-10,0.0687,0.0692,0.0687,0.0687,34809600
1981-09-11,0.0683,0.0683,0.0679,0.0679,17539200
1981-09-14,0.0662,0.0662,0.0657,0.0657,27686400
1981-09-15,0.0644,0.0644,0.0640,0.0640,19510400
1981-09-16,0.0631,0.0631,0.0627,0.0627,19353600
1981-09-17,0.0614,0.0614,0.0609,0.0609,19376000
1981-09-18,0.0614,0.0618,0.0614,0.0614,26320000
1981-09-21,0.0618,0.0623,0.0618,0.0618,49033600
1981-09-22,0.0588,0.0588,0.0584,0.0584,47420800
1981-09-23,0.0579,0.0579,0.0571,0.0571,28201600
1981-09-24,0.0571,0.0571,0.0566,0.0566,18300800
1981-09-25,0.0502,0.0502,0.0493,0.0493,34608000
1981-09-28,0.0497,0.0502,0.0497,0.0497,91728000
1981-09-29,0.0523,0.0527,0.0523,0.0523,94684800
1981-09-30,0.0527,0.0532,0.0527,0.0527,49996800
1981-10-01,0.0527,0.0532,0.0527,0.0527,61129600
1981-10-02,0.0571,0.0575,0.0571,0.0571,45046400
1981-10-05,0.0588,0.0597,0.0588,0.0588,43097600
1981-10-06,0.0588,0.0588,0.0584,0.0584,28358400
1981-10-07,0.0618,0.0627,0.0618,0.0618,38841600
1981-10-08,0.0640,0.0644,0.0640,0.0640,31091200
1981-10-09,0.0644,0.0653,0.0644,0.0644,54521600
1981-10-12,0.0666,0.0670,0.0666,0.0666,27350400
1981-10-13,0.0666,0.0674,0.0666,0.0666,44195200
1981-10-14,0.0631,0.0631,0.0627,0.0627,30979200
1981-10-15,0.0640,0.0644,0.0640,0.0640,29433600
1981-10-16,0.0635,0.0635,0.0631,0.0631,36467200
1981-10-19,0.0644,0.0649,0.0644,0.0644,20585600
1981-10-20,0.0679,0.0683,0.0679,0.0679,35728000
1981-10-21,0.0679,0.0683,0.0679,0.0679,76899200
1981-10-22,0.0679,0.0679,0.0674,0.0674,32278400
1981-10-23,0.0662,0.0662,0.0657,0.0657,27910400
1981-10-26,0.0657,0.0662,0.0657,0.0657,27283200
1981-10-27,0.0670,0.0679,0.0670,0.0670,85590400
1981-10-28,0.0692,0.0696,0.0692,0.0692,44172800
1981-10-29,0.0687,0.0687,0.0683,0.0683,30486400
1981-10-30,0.0692,0.0696,0.0692,0.0692,52729600
1981-11-02,0.0692,0.0696,0.0692,0.0692,36915200
1981-11-03,0.0687,0.0687,0.0683,0.0683,28380800
1981-11-04,0.0670,0.0670,0.0666,0.0666,23811200
1981-11-05,0.0623,0.0623,0.0618,0.0618,23363200
1981-11-06,0.0623,0.0627,0.0623,0.0623,24595200
1981-11-09,0.0631,0.0635,0.0631,0.0631,20384000
1981-11-10,0.0635,0.0640,0.0635,0.0635,16755200
1981-11-11,0.0653,0.0657,0.0653,0.0653,27440000
1981-11-12,0.0674,0.0679,0.0674,0.0674,39916800
1981-11-13,0.0631,0.0631,0.0627,0.0627,21011200
1981-11-16,0.0623,0.0623,0.0618,0.0618,22556800
1981-11-17,0.0631,0.0635,0.0631,0.0631,35414400
1981-11-18,0.0653,0.0657,0.0653,0.0653,29142400
1981-11-19,0.0653,0.0657,0.0653,0.0653,40006400
