MacroTrends Data Download,,,,,
ANET - Historical Price and Volume Data,,,,,
Note: Historical prices are adjusted for stock splits.,,,,,
,,,,,
"Disclaimer and Terms of Use: Historical stock data is provided 'as is' and solely for informational purposes, not for trading purposes or advice.",,,,,
"MacroTrends LLC expressly disclaims the accuracy, adequacy, or completeness of any data and shall not be liable for any errors, omissions or other defects in, ",,,,,
"delays or interruptions in such data, or for any actions taken in reliance thereon.  Neither MacroTrends LLC nor any of our information providers will be liable",,,,,
for any damages relating to your use of the data provided.,,,,,
,,,,,
,,,,,
"ATTRIBUTION: Proper attribution requires clear indication of the data source as ""www.macrotrends.net"".",,,,,
"A ""dofollow"" backlink to the originating page is also required if the data is displayed on a web page.",,,,,
,,,,,
,,,,,
date,open,high,low,close,volume
6/6/2014,13.8125,15,13.75,13.75,29018000
6/9/2014,14.0625,14.25,13.75,13.8,2867600
6/10/2014,13.8125,15,13.8125,15,3947200
6/11/2014,15,15.875,14.6651,15.875,2646400
6/12/2014,15.9125,16.9575,15.7675,16.5,2917200
6/13/2014,17.1175,18,16.75,17.395,4262800
6/16/2014,17.805,17.875,16.9087,17.875,1668000
6/17/2014,17.9725,18.1575,17.25,17.4275,1114400
6/18/2014,17.5175,17.75,16.97,17.24,835200
6/19/2014,17.0075,17.2025,16.1275,16.4175,2606400
6/20/2014,16.2625,17.125,16.125,16.2875,1176000
6/23/2014,16.255,16.8725,16.255,16.4275,466000
6/24/2014,16.5875,16.6875,15.9675,16.07,771200
6/25/2014,15.9525,16.3395,15.5,16.1225,744800
6/26/2014,16.2025,16.2025,15.625,15.9525,388400
6/27/2014,15.9775,15.9775,15.5625,15.6375,978800
6/30/2014,15.5175,16.3,15.5175,15.5975,928000
7/1/2014,16.7425,19.2075,16.525,19,6632800
7/2/2014,19.685,20.1325,18.3,18.8375,4506000
7/3/2014,19.11,19.4068,18.525,19.1025,975600
7/7/2014,18.79,19.3225,18.0075,18.0425,1266400
7/8/2014,17.9825,18.0125,15.785,17.3575,4714800
7/9/2014,17.325,18.225,16.5025,17.975,1488000
7/10/2014,16.88,17.535,16.7809,16.935,1187200
7/11/2014,17.2,17.625,17.0875,17.4075,766800
7/14/2014,17.85,18,17.1325,17.2375,524000
7/15/2014,17.3625,17.6399,16.5,16.6725,904400
7/16/2014,16.7675,17,15.9025,16.1325,990800
7/17/2014,15.9725,16.405,15.7775,15.94,520800
7/18/2014,16.0075,16.225,15.8376,16,494800
7/21/2014,16.0325,16.1825,15.7525,15.8075,574800
7/22/2014,15.94,16.74,15.865,16.3775,943600
7/23/2014,16.4725,16.67,16.1,16.205,591600
7/24/2014,16.2775,16.54,15.9425,16.0625,730400
7/25/2014,16.0375,16.195,15.6275,15.91,462400
7/28/2014,16.13,16.136,15.7575,15.8525,269600
7/29/2014,15.8975,16.0125,15.7875,15.9625,425600
7/30/2014,16.12,16.975,15.9925,16.9475,2432400
7/31/2014,16.585,16.75,16.2775,16.53,1030800
8/1/2014,16.455,16.875,16.3125,16.4025,774800
8/4/2014,16.4975,17.375,16.42,17.3075,1022400
8/5/2014,17.2075,18.25,17.005,18.0225,1609600
8/6/2014,17.845,18.125,17.3825,17.705,902400
8/7/2014,17.9425,18.165,17.796,18.055,1650400
8/8/2014,19.8125,19.97,17.875,18.0075,5705600
8/11/2014,18.1725,18.35,16.8275,17.465,2960400
8/12/2014,17.37,17.9215,17.37,17.7775,892000
8/13/2014,17.785,17.9925,17.3345,17.46,1094000
8/14/2014,17.4325,17.925,17.2,17.7025,1066400
8/15/2014,17.855,17.855,17.345,17.455,566400
8/18/2014,17.7125,17.8425,17.3125,17.6275,703600
8/19/2014,17.685,18.795,17.5413,18.75,1912400
8/20/2014,18.5825,19.3173,18.2252,19.1,1583600
8/21/2014,18.97,19.5975,18.8325,19.3375,1741200
8/22/2014,19.1225,19.24,18.8125,18.905,710400
8/25/2014,19.0125,19.36,18.7025,18.895,709600
8/26/2014,18.86,19.1925,18.6663,19.0425,650800
8/27/2014,18.9975,20.8675,18.9925,20.79,2896800
8/28/2014,20.74,20.9725,20.3925,20.8625,1373200
8/29/2014,21.2225,21.4473,20.685,20.9625,1322000
9/2/2014,21.285,21.67,21.0575,21.525,1318400
9/3/2014,21.79,21.89,21.2275,21.4025,1341200
9/4/2014,21.3525,22.325,21.2975,21.8725,1290800
9/5/2014,21.855,22.8325,21.5325,22.78,939200
9/8/2014,22.7875,23.485,21.4225,21.915,2961600
9/9/2014,22,22.2205,20.945,21.07,1359600
9/10/2014,21.2475,22.21,20.785,22.1875,1323200
9/11/2014,22.025,22.7225,21.91,22.1875,720400
9/12/2014,22.2225,22.3525,21.25,21.5675,780400
9/15/2014,21.83,22.0625,20.635,20.7075,1640000
9/16/2014,20.5675,21.335,20.2,21,1074000
9/17/2014,21.1975,21.485,20.805,20.8775,803200
9/18/2014,21.125,21.61,21.0075,21.5325,942000
9/19/2014,21.735,21.9125,21.225,21.9125,2088800
9/22/2014,21.7225,22.1625,20.89,20.96,1817200
9/23/2014,20.86,21.5775,20.765,21.1175,1179128
9/24/2014,20.8,21.975,20.8,21.7775,1121624
9/25/2014,21.6775,22.11,20.955,21.075,1314460
9/26/2014,21.0875,21.4788,21.085,21.2825,1158376
9/29/2014,21.115,23.4375,21,23.3275,3051288
9/30/2014,23.39,23.71,21.6525,22.0825,4405384
10/1/2014,22.01,22.1325,20.78,21.015,2411000
10/2/2014,21.1125,21.2625,19.905,21.0575,1917416
10/3/2014,21.445,21.7775,20.8675,21.4325,1378688
10/6/2014,21.495,21.645,20.7025,21.17,1445824
10/7/2014,20.7825,21.12,20.5538,20.7025,1800780
10/8/2014,21.0825,22.23,20.76,22.11,2370668
10/9/2014,22.11,22.5625,21.1637,21.455,2084496
10/10/2014,21.1575,21.6775,19.4425,19.5325,5477288
10/13/2014,19.645,19.905,18.3263,18.4225,2416736
10/14/2014,18.5,18.845,17.575,18.38,2784744
10/15/2014,18.25,18.93,17.75,18.7625,2417384
10/16/2014,18.6225,19.055,18.35,18.6425,2346828
10/17/2014,18.9825,19.3725,18.9675,19.18,2592380
10/20/2014,19.355,19.8125,18.855,19.0975,1171944
10/21/2014,19.5775,19.595,19.2025,19.3775,1393228
10/22/2014,19.5,19.5375,17.92,18.045,1995284
10/23/2014,18.3175,18.8475,18.065,18.46,2027996
10/24/2014,18.45,18.7475,18.1875,18.7325,1118276
10/27/2014,18.675,18.675,18.275,18.34,821396
10/28/2014,18.385,18.5765,18.14,18.46,1730504
10/29/2014,18.4625,18.9,18.0575,18.2575,1273980
10/30/2014,18.325,18.75,18.2725,18.4725,1231500
10/31/2014,18.71,20.733,18.65,20.3125,2590484
11/3/2014,21.1875,21.5,20.34,21.4225,2004548
11/4/2014,21.4225,21.8025,20.64,21.5975,2313612
11/5/2014,22.32,22.4725,20.6925,21.03,3035848
11/6/2014,21.355,21.825,20.8,21.8125,2872780
11/7/2014,19.7125,20.2625,19.125,19.4575,6603156
11/10/2014,19.5063,20.085,19.1525,19.1975,3004100
11/11/2014,18.635,19.845,18.5,19.685,5947364
11/12/2014,19.685,19.845,19.125,19.31,2283472
11/13/2014,19.25,19.6875,19.0575,19.2425,1510756
11/14/2014,19.2425,19.435,19.1275,19.4225,1297208
11/17/2014,19.16,19.2875,18.955,19.175,1487076
11/18/2014,19.175,19.3625,19.0775,19.2,1265220
11/19/2014,19.05,19.3275,19.05,19.25,1524984
11/20/2014,19.0925,19.0925,18.6675,18.795,2403820
11/21/2014,18.875,19.0625,18.5125,18.5375,1684744
11/24/2014,18.5625,18.6725,18.165,18.235,1702164
11/25/2014,18.3325,18.7013,18.25,18.435,1687864
11/26/2014,18.725,19.4748,18.6125,19.0375,2111948
11/28/2014,19.17,19.2313,18.89,18.9675,827328
12/1/2014,18.5,18.8375,17.8375,17.895,2934976
12/2/2014,17.8675,18.125,16.895,17.355,4218812
12/3/2014,17.355,18.24,17.3025,18.1575,4330808
12/4/2014,18.175,18.5,17.915,18.3825,1343572
12/5/2014,18.3125,18.625,16.925,17.06,7412144
12/8/2014,16.9025,16.9025,14.79,16.205,11889436
12/9/2014,15.9,16.5875,15.855,16.5475,3008532
12/10/2014,16.495,16.575,16.21,16.2925,2528416
12/11/2014,16.375,17.04,16.375,16.975,2793912
12/12/2014,16.66,17.177,16.5,16.9875,2546284
12/15/2014,16.795,16.9725,16.735,16.8475,1993004
12/16/2014,16.7575,17.215,16.64,17.085,2401752
12/17/2014,17.0375,17.35,16.7075,16.82,2426212
12/18/2014,16.965,17.075,16.5,16.6925,4479136
12/19/2014,16.825,17.23,16.575,16.6325,2518340
12/22/2014,16.525,16.5975,15.9025,16.3175,2950756
12/23/2014,16.335,16.475,15.8625,16.175,2158128
12/24/2014,16.2275,16.3225,16.1025,16.25,1097528
12/26/2014,16.4525,16.4525,15.9725,16.3125,1543488
12/29/2014,16.305,16.41,15.305,15.3925,3068788
12/30/2014,15.2725,15.625,15.0725,15.16,2419136
12/31/2014,15.175,15.4775,15.175,15.19,1428496
1/2/2015,15.19,15.7188,15.04,15.67,1481952
1/5/2015,15.75,16.1875,15.5125,15.95,1876820
