"MacroTrends Data Download"
"AVGO - Historical Price and Volume Data"
"Note: Historical prices are adjusted for stock splits."

"Disclaimer and Terms of Use: Historical stock data is provided 'as is' and solely for informational purposes, not for trading purposes or advice."
"MacroTrends LLC expressly disclaims the accuracy, adequacy, or completeness of any data and shall not be liable for any errors, omissions or other defects in, "
"delays or interruptions in such data, or for any actions taken in reliance thereon.  Neither MacroTrends LLC nor any of our information providers will be liable"
"for any damages relating to your use of the data provided."


"ATTRIBUTION: Proper attribution requires clear indication of the data source as ""www.macrotrends.net""."
"A ""dofollow"" backlink to the originating page is also required if the data is displayed on a web page."


date,open,high,low,close,volume
2009-08-06,12.0032,12.3015,11.3194,11.7704,24197800
2009-08-07,11.7486,12.1924,11.6613,11.9523,2454300
2009-08-10,12.0978,12.0978,11.3558,11.6177,2421000
2009-08-11,11.6250,11.6395,11.2758,11.3994,2305400
2009-08-12,11.7486,11.7850,11.3922,11.6395,1451300
2009-08-13,11.6395,12.1633,11.6395,12.0396,1150600
2009-08-14,12.0032,12.3670,11.8214,12.0760,637800
2009-08-17,11.8359,11.9087,11.7850,11.7995,254400
2009-08-18,11.9887,12.5125,11.8941,12.4179,1446700
2009-08-19,12.2506,13.0508,12.2215,13.0144,2070800
2009-08-20,13.0581,13.0581,12.5779,12.9198,1882100
2009-08-21,12.9417,13.0726,12.7889,12.9635,863600
2009-08-24,12.7453,12.9853,12.5852,12.7307,1021600
2009-08-25,12.8398,13.0217,12.7671,12.9853,530800
2009-08-26,12.8689,12.9853,12.4761,12.9853,708600
2009-08-27,12.9853,13.2472,12.7671,13.2108,1161100
2009-08-28,13.1672,13.8219,13.0944,13.4363,1295000
2009-08-31,13.3491,13.3854,12.9562,13.2399,1004800
2009-09-01,13.2763,13.4145,12.3233,12.9853,1383500
2009-09-02,12.9198,13.2763,12.7162,12.8616,1293400
2009-09-03,13.0726,13.0726,12.3670,12.6943,3657700
2009-09-04,12.9126,13.0936,12.7234,12.9198,1158600
2009-09-08,12.9198,13.0435,12.6943,12.8762,574900
2009-09-09,12.9853,12.9853,12.5270,12.5561,551200
2009-09-10,12.3742,12.7016,12.3306,12.4033,415200
2009-09-11,12.3670,12.6070,12.0323,12.2797,620300
2009-09-14,12.1051,12.2942,11.8650,12.1124,1614500
2009-09-15,12.5488,12.6216,12.0978,12.4979,1986900
2009-09-16,12.6580,12.9126,12.4470,12.7889,2021100
2009-09-17,12.8471,13.0217,12.0251,12.1051,1446400
2009-09-18,12.0542,12.3815,11.7704,11.7850,899900
2009-09-21,11.8432,12.0978,11.5449,12.0833,553000
2009-09-22,12.3379,12.6361,12.2360,12.5488,1114100
2009-09-23,12.8180,12.9417,12.5852,12.6580,530300
2009-09-24,12.6070,12.9844,12.1851,12.7234,778800
2009-09-25,12.7162,12.7162,12.4397,12.4615,468500
2009-09-28,12.5998,12.9853,12.3888,12.8398,233600
2009-09-29,12.7671,12.9780,12.3306,12.3888,356700
